label	quallab	value	StdDev	nObs	instrument	methoddesc	formationname
argillite lithology in British Columbia	average magnetic susceptibility argillite	0.00413	0.01682	23	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 23 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00001 SI magnetic susceptibility, max susceptibility is 0.08090 SI magnetic susceptibility"	
argillite lithology in British Columbia	average magnetic susceptibility argillite	0.00237	0.00643	9	SAPPHIRE SI2B MS METER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00013 SI magnetic susceptibility, max susceptibility is 0.01950 SI magnetic susceptibility"	
argillite lithology in Sowchea Succ	average  Magnetic_Susceptibility for argillite in the Sowchea Succ	0.0003	0.0002	14	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003  SI magnetic susceptibility, max susceptibility is 0.00061  SI magnetic susceptibility"	Sowchea Succ
ash_tuff_lapillistone_and_lapilli_tuff lithology in British Columbia	average magnetic susceptibility ash_tuff_lapillistone_and_lapilli_tuff	0.00673	0.01101	258	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 258 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00080 SI magnetic susceptibility, max susceptibility is 0.06350 SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in British Columbia	average magnetic susceptibility ash_tuff_lapillistone_and_lapilli_tuff	0.01126	0.01352	45	SAPPHIRE SI2B MS METER	"average value and standard deviation from 45 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00008 SI magnetic susceptibility, max susceptibility is 0.05470 SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in British Columbia	average magnetic susceptibility ash_tuff_lapillistone_and_lapilli_tuff	0.00193	0.00452	48	GF INSTRUMENTS SM-20	"average value and standard deviation from 48 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00003 SI magnetic susceptibility, max susceptibility is 0.02390 SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in British Columbia	average density of unaltered ash_tuff_lapillistone_and_lapilli_tuff	2.64	0.11	60	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 60 observations in the British Columbia Geological Survey Rock Properties Database. All gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min Density for this sample set is 2.21 g/cm3, max density is 2.94 g/cm3"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in Eagle BayFeldspar of Eagle Bay	average  Density for ash_tuff_lapillistone_and_lapilli_tuff in the Eagle Bay Feldspar of the Eagle Bay	2.68	0.02	9	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.65  g/cm3, max susceptibility is 2.73  g/cm3"	Eagle Bay Feldspar
ash_tuff_lapillistone_and_lapilli_tuff lithology in Eagle BayFeldspar of Eagle Bay	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Eagle Bay Feldspar of the Eagle Bay	0.00027	0.00037	9	GF INSTRUMENTS SM-20	"average value and standard deviation from 9 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by GF INSTRUMENTS SM-20. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00005  SI magnetic susceptibility, max susceptibility is 0.00123  SI magnetic susceptibility"	Eagle Bay Feldspar
ash_tuff_lapillistone_and_lapilli_tuff lithology in Endako Formation	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Endako Formation	0.00903	0.01103	6	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00055  SI magnetic susceptibility, max susceptibility is 0.03020  SI magnetic susceptibility"	Endako Formation
ash_tuff_lapillistone_and_lapilli_tuff lithology in Hazelton Group	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Hazelton Group	0.00559	0.00907	13	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 13 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00003  SI magnetic susceptibility, max susceptibility is 0.02980  SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in Inzana Lake Formation	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Inzana Lake Formation	0.00056	0.00015	14	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 14 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00024  SI magnetic susceptibility, max susceptibility is 0.00076  SI magnetic susceptibility"	Inzana Lake Formation
ash_tuff_lapillistone_and_lapilli_tuff lithology in Kasalka Group	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Kasalka Group	0.01445	0.01389	26	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 26 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00022  SI magnetic susceptibility, max susceptibility is 0.05090  SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in Naglico Formation	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Naglico Formation	0.01116	0.01203	30	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 30 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00002  SI magnetic susceptibility, max susceptibility is 0.04500  SI magnetic susceptibility"	Naglico Formation
ash_tuff_lapillistone_and_lapilli_tuff lithology in Nicola Group	average  Density for ash_tuff_lapillistone_and_lapilli_tuff in the Nicola Group	2.78	0.1	6	WEIGHT-IN-AIR/WEIGHT-IN-WATER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Density measurements are by WEIGHT-IN-AIR/WEIGHT-IN-WATER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 2.65  g/cm3, max susceptibility is 2.94  g/cm3"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in Ootsa Lake Group	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Ootsa Lake Group	0.005	0.009	75	KT-9 KAPPAMETER MS METER	"average value and standard deviation from 75 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by KT-9 KAPPAMETER MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is -0.00080  SI magnetic susceptibility, max susceptibility is 0.04270  SI magnetic susceptibility"	
ash_tuff_lapillistone_and_lapilli_tuff lithology in Powell Creek Volcanic	average  Magnetic_Susceptibility for ash_tuff_lapillistone_and_lapilli_tuff in the Powell Creek Volc	0.00274	0.00284	6	SAPPHIRE SI2B MS METER	"average value and standard deviation from 6 observations in the British Columbia Geological Survey Rock Properties Database. All  gsoq:Magnetic_Susceptibility measurements are by SAPPHIRE SI2B MS METER. Aggregation, averaging and standard deviation calculation done on sample value field using Microsoft Access database. Min susceptibilty for this sample set is 0.00039  SI magnetic susceptibility, max susceptibility is 0.00787  SI magnetic susceptibility"	Powell Creek Volc
